编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,商家地址,月销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
11,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao中朴老粗布手工艺品"，"点我对话"),中朴老粗布手工艺品,中朴民艺,,18182516678,,https://shop115747145.taobao.com,196,陕西省咸阳市,,,4.89209分,0.44%,4.89209分,-0.62%,4.89209分,-0.59%,,,,,,,,,,
12,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao泫月汐"，"点我对话"),泫月汐,甜甜桃子海外免税代购,,13621095384,,https://shop60816179.taobao.com,77,北京市,,,4.81905,-0.60%,4.85714,0.36%,4.88571分,6.02%,,,,,,,,,,
13,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao带你吃遍陕西"，"点我对话"),带你吃遍陕西,包包格家ins少女饰品,15353591079,15353592216,,https://shop102254106.taobao.com,276,陕西省西安市,,,4.78886分,-0.85%,4.81525分,-0.88%,4.82991分,-0.76%,,,,,,,,,,
14,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao王774834845"，"点我对话"),王774834845,伊指秀伊莎美甲,,13725247803,,https://shop103790495.taobao.com,0,广东省广州市,,97.8%,,,,,,,,,,,,,,,,
15,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao滨适衣馆"，"点我对话"),滨适衣馆,北极绒睡衣直营店,,15102060713,,https://shop116875687.taobao.com,818,广东省广州市,,,4.73411,-1.96%,4.78272,-1.63%,4.79767分,-1.45%,,,,,,,,,,
16,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao抉择之路"，"点我对话"),抉择之路,磊乐体育,18802496934,18802496934,,https://shop576129860.taobao.com,39,河南省开封市,,,4.93939分,60.61%,4.93939分,54.33%,4.93939分,53.65%,,,,,,,,,,
17,,二金,=HYPERLINK("aliim:sendmsg?&touid=cntaobaovip770766058"，"点我对话"),vip770766058,初馨奶茶坊,,15102106369,,https://shop102298988.taobao.com,18386,上海市,,,4.85594,24.67%,4.85803,13.42%,4.85259分,6.57%,,,,,,,,,,
18,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozitianyl"，"点我对话"),zitianyl,张老师的店铺 素材店,,13966679768,,https://shop59300262.taobao.com,57,安徽省合肥市,,99.9%,5.0分,100.00%,4.98077分,84.60%,5.0分,100.00%,,,,,,,,,,
19,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao李鹏程1919"，"点我对话"),李鹏程1919,伟程pvc胶袋制品,,13268653655,,https://shop117258549.taobao.com,100,广东省东莞市,,97%,4.2分,-12.72%,4.2分,-13.28%,4.2分,-13.36%,,,,,,,,,,
20,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopanweilia"，"点我对话"),panweilia,浩鸿科技,,18759499349,,https://shop34922165.taobao.com,5,福建省泉州市,,99.6%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
21,,一金,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodokitt"，"点我对话"),dokitt,lovedoki,15869000648,15869000648,15869000648,https://shop106139089.taobao.com,3251,浙江省杭州市,,,4.95458分,67.69%,4.96563分,72.48%,4.9613分,67.85%,,,,,,,,,,
22,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao喵喵热线"，"点我对话"),喵喵热线,喵喵 美国代购,,,13588820763,https://shop64425392.taobao.com,36,浙江省杭州市,,,4.92045分,47.56%,4.92045分,36.58%,4.92045分,34.55%,,,,,,,,,,
23,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao李忠腾"，"点我对话"),李忠腾,小蜗牛家居百货,,13326387389,,https://shop100064561.taobao.com,946,山东省烟台市,,,4.88242分,-0.64%,4.89082分,-0.64%,4.87403分,-0.95%,,,,,,,,,,
24,永康市贝罗贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦科旗舰店"，"点我对话"),梦科旗舰店,梦科旗舰店,15382488380,,15382488380,https://shop102116178.taobao.com,37918,浙江， 金华,,,4.95169分,53.84%,4.96618分,70.24%,4.94203分,47.17%,,,,,,,,,,
25,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宇桐网店"，"点我对话"),宇桐网店,宇桐网店,,13592109939,,https://shop104259076.taobao.com,267,河南省开封市,,100%,4.75分,-3.33%,4.75分,-3.50%,4.75分,-3.47%,,,,,,,,,,
26,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao飙山狼东北总经销"，"点我对话"),飙山狼东北总经销,飙山狼东北总代,,,18640312888,https://shop101777979.taobao.com,36,辽宁省沈阳市,,99%,4.93976分,60.86%,4.93976分,54.61%,4.96386分,72.36%,,,,,,,,,,
27,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao云南名茶店"，"点我对话"),云南名茶店,云南名茶店 知茶事,13988117759,13988117759,,https://shop34755337.taobao.com,3932,云南省版纳市,,,4.86687,30.38%,4.89861,38.17%,4.88158分,24.95%,,,,,,,,,,
28,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodella魔女"，"点我对话"),della魔女,黛瑞拉珠宝,,18662288510,,https://shop36185046.taobao.com,1540,江苏省苏州市,,,4.94663分,62.18%,4.95225分,58.79%,4.95506分,59.33%,,,,,,,,,,
29,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobingying_xie"，"点我对话"),bingying_xie,洲哥外贸包 高端晚宴,,,18923915412,https://shop59607699.taobao.com,81,广东省汕头市,,,4.96774,81.19%,4.97581,82.46%,4.96774分,75.57%,,,,,,,,,,
30,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobabydiaper"，"点我对话"),babydiaper,Elf Diaper 官方店,13163377886,,,https://shop67611243.taobao.com,338,湖北省武汉市,,99%,4.84848,10.81%,4.87879,14.58%,4.90909分,31.83%,,,,,,,,,,
31,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao重庆市惠友贸易有限公司"，"点我对话"),重庆市惠友贸易有限公司,重庆美食网,13677636369,,,https://shop128997516.taobao.com,665,重庆市,,99.3%,4.83471,13.56%,4.84298,4.24%,4.88017分,24.05%,,,,,,,,,,
32,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopanwenjun2633528"，"点我对话"),panwenjun2633528,爆米花 裤袜坊,,,13222186582,https://shop35900069.taobao.com,7,江苏省南通市,,99.7%,4.87755分,28.60%,4.89796分,26.00%,4.83673分,-0.64%,,,,,,,,,,
33,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqshn20"，"点我对话"),qshn20,高新摩配商行,,13543153631,,https://shop64580780.taobao.com,226,广东省汕尾市,,98.1%,4.72535分,-2.32%,4.8169分,-0.79%,4.80282分,-1.13%,,,,,,,,,,
34,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodcyxw"，"点我对话"),dcyxw,公主名妆,,13853641666,,https://shop107064279.taobao.com,108,山东省潍坊市,,98.5%,4.82979分,0.38%,4.83688分,-0.77%,4.83688分,-0.85%,,,,,,,,,,
35,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao豆利超"，"点我对话"),豆利超,时尚数码快印,15233618661,,,https://shishangshumakuaiyin.taobao.com,4991,河北省石家庄市,,,4.86667,3.36%,4.96667,71.83%,4.86667分,0.38%,,,,,,,,,,
36,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocsx826"，"点我对话"),csx826,想米佳软装精品馆,15658589922,,,https://shop58701835.taobao.com,390,浙江省杭州市,,,4.73494分,-3.64%,4.79346分,-2.62%,4.78485分,-2.77%,,,,,,,,,,
37,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozkun268"，"点我对话"),zkun268,美乐居墙艺,,17702693316,,https://shop58538632.taobao.com,0,广东省茂名市,,,4.66667分,-4.45%,4.83333分,-1.33%,4.83333分,-1.28%,,,,,,,,,,
38,,一金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao靓一族2009"，"点我对话"),靓一族2009,靓一族彩田 3条包邮,,13536112312,,https://hhhyyy.taobao.com,1375,广东省江门市,,,4.84073,7.13%,4.84014,0.45%,4.86263分,0.11%,,,,,,,,,,
39,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao快乐淘m"，"点我对话"),快乐淘m,运新包装厂,18001639330,18001639330,,https://shop63777675.taobao.com,0,上海市,,99.5%,,,,,,,,,,,,,,,,
40,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雪之女王1201"，"点我对话"),雪之女王1201,好利来 三全 品牌礼品,13075320868,,,https://hanxiucao1985.taobao.com,22,山东省济南市,,98%,4.39474,-8.61%,4.42105,-8.58%,4.42105分,-8.70%,,,,,,,,,,
41,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao大杨箱包"，"点我对话"),大杨箱包,迪曼优品双肩包包袋,18713207341,13403360611,,https://shop116299255.taobao.com,112,河北省保定市,,,4.74627分,-1.70%,4.74627分,-2.38%,4.8209分,-0.97%,,,,,,,,,,
42,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao中国大陆6789"，"点我对话"),中国大陆6789,陆陆高山果园,13705087461,,,https://shop69839756.taobao.com,0,福建省福州市,,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
43,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao枫凌之翼"，"点我对话"),枫凌之翼,伊米丽娅,,13884396007,13884396007,https://shop36753350.taobao.com,144,浙江省丽水市,,,4.83573分,4.22%,4.87032分,5.95%,4.8415分,-0.54%,,,,,,,,,,
44,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqq630943483"，"点我对话"),qq630943483,背包订制湘香工厂,18620500169,18620500169,,https://tangxiangxiang.taobao.com,462,广东省东莞市,,,4.61538,-4.41%,4.61538,-5.08%,4.53846分,-6.77%,,,,,,,,,,
45,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozhouct98"，"点我对话"),zhouct98,迅宏装饰,,18916153628,,https://shop34072049.taobao.com,1587,上海市,,,4.33077分,-11.86%,4.37692分,-11.08%,4.38462分,-10.90%,,,,,,,,,,
46,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冬天的回忆11"，"点我对话"),冬天的回忆11,ten years护肤品正品,15986319158,13556173506,,https://shop112426377.taobao.com,2,广东省广州市,,99.3%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
47,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoliuliyatou10"，"点我对话"),liuliyatou10,怦然心动萌宝包,15952008403,15005165743,,https://shop115469023.taobao.com,320,江苏省南京市,,,4.87697分,28.24%,4.87066分,6.15%,4.88152分,10.22%,,,,,,,,,,
48,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojiashiyi2006"，"点我对话"),jiashiyi2006,玉肤颜护,,18101813616,,https://shop70321154.taobao.com,270,上海市,,99.7%,4.89429分,30.32%,4.91429分,31.71%,4.90286分,20.12%,,,,,,,,,,
49,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao温州时尚女鞋批发零售部"，"点我对话"),温州时尚女鞋批发零售部,香港IT奢品免税店,,18606595380,,https://shop108634475.taobao.com,861,浙江省宁波市,,97.3%,4.99606分,97.70%,4.99527分,96.57%,4.99606分,97.02%,,,,,,,,,,
50,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolilyyanghy"，"点我对话"),lilyyanghy,家庭洗护品牌店,,15853680238,,https://shop35138723.taobao.com,0,山东省潍坊市,,99.4%,4.9337,63.30%,4.9337,57.87%,4.90608分,38.17%,,,,,,,,,,
51,,一金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao亿丰家居"，"点我对话"),亿丰家居,收纳博士厂家店,,15906520688,,https://shop65924414.taobao.com,21596,浙江省宁波市,,,4.85667分,20.69%,4.86958分,17.04%,4.87589分,18.21%,,,,,,,,,,
52,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao君之寓品牌家具直营"，"点我对话"),君之寓品牌家具直营,艺庭家具美式家具,,13650384322,,https://shop60113783.taobao.com,1,广东省东莞市,,98.9%,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
53,深圳再创高峰实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao弗幕阁旗舰店"，"点我对话"),弗幕阁旗舰店,弗幕阁旗舰店,18397542894,18902478959,,https://shop536742140.taobao.com/,3777,山东 济南,,,4.81849分,1.01%,4.82689分,0.57%,4.84202分,0%,,,,,,,,,,
54,赣州御府轩家具有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韵然紫旗舰店"，"点我对话"),韵然紫旗舰店,韵然紫旗舰店,18270098288,13679852568,,https://shop510157340.taobao.com/,3494,广东 佛山,,,4.95517分,57.19%,4.953分,58.67%,4.95734分,61.15%,,,,,,,,,,
55,天津市爱木箱包销售有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao木子尚品旗舰店"，"点我对话"),木子尚品旗舰店,木子尚品旗舰店,13315257072,13315257072,,https://shop62801716.taobao.com/,5338,天津,,,4.96053分,70.69%,4.98684分,90.83%,4.97697分,82.83%,,,,,,,,,,
56,江门市新会区越达贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyeud旗舰店"，"点我对话"),yeud旗舰店,yeud旗舰店,18029618220,13827007005,18029618220,https://shop111133432.taobao.com/,12427,广东省 江门市,,,4.93047分,46.76%,4.93787分,53.52%,4.91864分,36.03%,,,,,,,,,,
57,佛山市顺德区蓝砖家具有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao福尊旗舰店"，"点我对话"),福尊旗舰店,福尊旗舰店,18888381915,,,https://shop105891437.taobao.com,9892,广东省， 佛山市,,,4.86599分,0.60%,4.87893分,0%,4.86229分,0.57%,,,,,,,,,,
58,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩束商城企业店"，"点我对话"),韩束商城企业店,韩束商城企业店,,15321270155,,https://shop560559336.taobao.com,0,北京市,,100%,4.62326,-3.99%,4.67907,-3.48%,4.66977分,-3.75%,,,,,,,,,,
59,新疆哎呦喂食品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao哎呦喂旗舰店"，"点我对话"),哎呦喂旗舰店,哎呦喂旗舰店,18199329554,,,https://shop70713243.taobao.com/,4230650,新疆， 乌鲁木齐,,,4.88878分,28.05%,4.88826分,27.42%,4.88648分,24.19%,,,,,,,,,,
60,广州奥格瑞玛皮具有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao汉斯邦德旗舰店"，"点我对话"),汉斯邦德旗舰店,汉斯邦德旗舰店,18027195758,,,https://shop71361077.taobao.com/,28443,广东 广州,,,5.0分,100%,4.87097分,10.15%,4.93548分,51.95%,,,,,,,,,,
61,天台县标卓汽车用品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao标卓车品专营店"，"点我对话"),标卓车品专营店,标卓车品专营店,,13566698523,,https://shop306425401.taobao.com/,16049,浙江省台州市,,,4.94107分,50.89%,4.93856分,51.84%,4.94483分,54.55%,,,,,,,,,,
62,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao建设明天8"，"点我对话"),建设明天8,水风幸福,,13738990194,,https://shop62315258.taobao.com,0,浙江省金华市,,97.9%,4.875分,26.42%,4.875分,11.91%,4.875分,6.26%,,,,,,,,,,
63,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao隐身网"，"点我对话"),隐身网,博格茨医疗器械,,,13807839566,https://shop57581016.taobao.com,113,广西省桂林市,,99.2%,4.86607,11.72%,4.88393,7.51%,4.89286分,11.90%,,,,,,,,,,
64,,二心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodirtyjiang"，"点我对话"),dirtyjiang,d[s63059300],18612359258,18910228338,,https://shop63059300.taobao.com/,0,北京市,,100%,,,,,,,,,,,,,,,,
65,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao童晴129"，"点我对话"),童晴129,ByVintage,18566005400,,,https://shop34615783.taobao.com/,0,广东省佛山市,,99.6%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
66,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凯文装订"，"点我对话"),凯文装订,北京凯文伟业商贸中心,,13717754819,,https://shop35678379.taobao.com/,0,北京市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
67,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao昕洋家居"，"点我对话"),昕洋家居,昕洋家居,,15895248996,,https://shop141956474.taobao.com/,31,江苏省徐州市,,98.8%,4.78788分,-2.56%,4.87879分,-0.89%,4.81818分,-2.09%,,,,,,,,,,
68,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao共赢锁业"，"点我对话"),共赢锁业,共赢锁业,,18942521110,,https://shop159736240.taobao.com/,0,湖南省长沙市,,99.5%,,,,,,,,,,,,,,,,
69,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星空的爱888"，"点我对话"),星空的爱888,宠物豆豆,,15372021109,,https://shop60139537.taobao.com,289,浙江省杭州市,,,4.95631分,68.33%,4.94175分,50.77%,4.94903分,55.55%,,,,,,,,,,
70,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolx5201314168"，"点我对话"),lx5201314168,湖北昊配汽车配件,18971422180,,,https://shop159379871.taobao.com,5,湖北省武汉市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
71,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao槟榔高桥批发"，"点我对话"),槟榔高桥批发,湖南槟榔特产美食屋,,18673191059,,https://shop67908352.taobao.com,532,湖南省长沙市,,99.1%,4.84956分,21.33%,4.84956分,8.26%,4.83186分,0.21%,,,,,,,,,,
72,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqq523076295"，"点我对话"),qq523076295,小丸子十年环球代购,18701533252,18911959741,,https://shop66241453.taobao.com,154,北京市,,99.5%,4.98988,94.10%,4.99089,93.39%,4.98988分,92.34%,,,,,,,,,,
73,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雅洁精品坊"，"点我对话"),雅洁精品坊,雅洁精品坊,,18681451707,,https://shop103681019.taobao.com,3,广东省深圳市,,98%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
74,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowzx13642226446"，"点我对话"),wzx13642226446,雅欣潮汕美食,,13642226446,,https://shop115708492.taobao.com,5528,广东省汕头市,,,4.81055,1.00%,4.84825,7.42%,4.84158分,0.10%,,,,,,,,,,
75,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowujunxia09"，"点我对话"),wujunxia09,如祥--台湾馆welcome,,18766182013,,https://shop62554764.taobao.com,199,山东省济南市,,99.2%,5.0,100.00%,5.0,100.00%,4.96分,74.65%,,,,,,,,,,
76,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxuyiwangkai"，"点我对话"),xuyiwangkai,意驰清洁设备商城,,13861783814,,https://shop62716636.taobao.com,2,江苏省无锡市,,,5.0分,100.00%,5.0分,100.00%,4.5分,-7.78%,,,,,,,,,,
77,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolushunli5588"，"点我对话"),lushunli5588,北洋模特厂家直销,,15162561500,13862252710,https://shop119863318.taobao.com,65,江苏省南通市,,,4.97674分,73.06%,5.0分,100.00%,4.90698分,0.29%,,,,,,,,,,
78,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoleimingsw"，"点我对话"),leimingsw,鸣艺盆景,13797947267,15071900380,,https://shop34544194.taobao.com,17,湖北省荆门市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
79,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美丽的梦i"，"点我对话"),美丽的梦i,环保材料厂家直销店,,15890088136,,https://shop108643637.taobao.com,123,河南省郑州市,,99.6%,4.77632分,-2.80%,4.75分,-3.50%,4.76316分,-3.21%,,,,,,,,,,
80,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodaiwencheng1215"，"点我对话"),daiwencheng1215,遍地金安徽特产城 8年,,13205518257,13205518257,https://shop107362291.taobao.com,974,安徽省合肥市,,,4.84449,18.74%,4.87153,21.63%,4.88371分,26.27%,,,,,,,,,,
81,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao金龙实业0122"，"点我对话"),金龙实业0122,温州铭展包装,,18066330322,,https://shop120617567.taobao.com,5651,浙江省温州市,,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
82,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxiao-zhi-hui"，"点我对话"),xiao-zhi-hui,德致友汽车俱乐部,13560026801,18027309935,,https://shop61109568.taobao.com,1,广东省广州市,,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
83,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao春天里的油菜花花"，"点我对话"),春天里的油菜花花,点点果休闲食品卖场,,15857334338,,https://shop72646356.taobao.com,88,浙江省嘉兴市,,,4.81346,2.52%,4.83558,0.10%,4.86224分,12.66%,,,,,,,,,,
84,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb45826625"，"点我对话"),tb45826625,创宝酒店用品,13927020293,,,https://shop105010084.taobao.com,0,广东省揭阳市,,98.8%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
85,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozhang_zhichao_2008"，"点我对话"),zhang_zhichao_2008,诚信杯杯礼品商行,,15958954887,,https://shop36309439.taobao.com,61,浙江省金华市,,99.5%,4.81579分,0.10%,4.83333分,0.19%,4.85965分,7.61%,,,,,,,,,,
86,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao真爱百贝"，"点我对话"),真爱百贝,安朵拉的小铺子,,18756985116,,https://shop70569925.taobao.com,0,安徽省合肥市,,,,,,,,,,,,,,,,,,
87,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao国际阳光网购中心"，"点我对话"),国际阳光网购中心,中大面具网购中心,,,13967919322,https://shop127762349.taobao.com,1735,浙江省金华市,,98.8%,4.27361分,-11.99%,4.48239分,-8.09%,4.53708分,-7.00%,,,,,,,,,,
88,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao佰仕杰饰品"，"点我对话"),佰仕杰饰品,雷普敦袖扣,,13669880536,,https://shop115779190.taobao.com,80,广东省东莞市,,99.2%,4.94262分,66.54%,4.98361分,88.11%,4.96721分,75.17%,,,,,,,,,,
89,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao谢晖x"，"点我对话"),谢晖x,浩健包装制品,,,17665211461,https://shop347345777.taobao.com,389,中国,,,4.93651分,54.84%,4.93651分,49.16%,4.93651分,47.25%,,,,,,,,,,
90,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao永无止敬123"，"点我对话"),永无止敬123,水之美化妆品批发,,13609153565,,https://shop59611457.taobao.com,3772,陕西省西安市,,,4.82463分,0.49%,4.85204分,0.46%,4.84965分,-0.59%,,,,,,,,,,
91,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao居之恋"，"点我对话"),居之恋,亿康厨房电器,,13020064922,,https://shop59550817.taobao.com,125,北京市,,98.6%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
92,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梅川胸罩也"，"点我对话"),梅川胸罩也,天宏汽摩改装店,,13776089619,,https://shop103633438.taobao.com,0,江苏省苏州市,,98.5%,,,,,,,,,,,,,,,,
93,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao炀虞粼"，"点我对话"),炀虞粼,清梧风扬塑料包装,15105565552,15105565552,,https://shop107675383.taobao.com,10657,安徽省安庆市,,98.8%,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
