类型,店铺名,店链接,商品名,商品链接,旺旺名,信用,电话1,电话2,销量,中评,差评,好评率,描述,描述同比,服务,服务同比,物流,物流同比,公司名,所在地,类目Id,类目
淘宝,松友家居工厂店,https://shop110888186.taobao.com/,松友儿童学习桌实木儿童书桌儿童桌椅套装小学生写字桌作业桌家用,https://item.taobao.com/item.htm?id=541764294532,松友家居,13,18366081531,15562044411,0,0,0,0,4.88628分,低于0.56%,4.90975分,持平0.26%,4.84657分,低于1.51%,,,0,
淘宝,HK港货ing,https://shop109444028.taobao.com/,香港采购虎标镇痛药布虎牌贴膏虎标贴布27片优惠装,https://item.taobao.com/item.htm?id=563665836394,秋高气双9,11,13652312379,,0,0,0,0,4.88764分,高于37.79%,4.88764分,高于28.68%,4.8764分,高于18.74%,,,0,
企业,世好多食品,https://shop57655251.taobao.com/,爆口福爆米花专用油 奶香味黄油椰子油原料 可爆蝶形球形桶装4L,https://item.taobao.com/item.htm?id=567176470350,秋水人家sm,15,,18658258261,0,0,0,0,4.8451,高于18.96%,4.84575,高于6.01%,4.84183分,持平0.10%,,,0,
淘宝,赞美真丝布料店,https://shop72708867.taobao.com/,100%重磅桑蚕丝真丝面料布料素绉缎重磅柔软真丝服装零布称斤处理,https://item.taobao.com/item.htm?id=563974520848,百小事可小乐,15,,18657621609,0,0,0,0,4.86798分,高于26.90%,4.90705分,高于41.00%,4.91853分,高于46.44%,,,0,
淘宝,恒辉模型 十一年匠心,https://shop34986426.taobao.com/,恒辉模型 富士美 46050 1/700 日本战舰 金剛号  拼装船模,https://item.taobao.com/item.htm?id=625672984869,hhmodel,17,021-54360379,13585922663,0,0,0,0,4.95171分,高于66.46%,4.95912分,高于66.68%,4.93327分,高于45.04%,,,0,
淘宝,蓝天风筝店,https://shop115752910.taobao.com/,潍坊风筝 高档不锈钢手握绕线轮 风筝放飞工具 大轴承静音包邮,https://item.taobao.com/item.htm?id=564829800492,潍坊良伟,14,,15265622215,0,0,0,0,4.88537分,高于25.55%,4.91119分,高于33.14%,4.89122分,高于16.87%,,,0,
淘宝,看山,https://shop33781194.taobao.com/,2020年知春古树红茶 早春头采500克凤庆功夫滇红散茶中焙高香包邮,https://item.taobao.com/item.htm?id=558543596105,小路猪猪,12,,13678781601,0,0,0,0,4.93295,高于64.92%,4.94722,高于67.84%,4.95007分,高于68.38%,,,0,
淘宝,精品先天下11,https://shop70268196.taobao.com/,金利来男鞋专柜正品鞋秋季新款专柜正品鞋套脚真皮商务休闲皮鞋男,https://item.taobao.com/item.htm?id=548356093405,精品先天下11,13,15933311730,15933311730,0,0,0,0,4.81818分,持平0.21%,4.84168分,持平0.42%,4.85714分,持平0.22%,,,0,
淘宝,熙宸食品,https://shop68200019.taobao.com/,特价Hormel Bacon Bits 荷美尔 培根碎片2kg碎培根片披萨汉堡西餐,https://item.taobao.com/item.htm?id=561188346421,wzh790821,16,,13916237845,0,0,0,0,4.93459,高于65.78%,4.94238,高于64.89%,4.93604分,高于59.50%,,,0,
淘宝,OLD BUY 老白の店 阿,https://shop72138448.taobao.com/,阿美咔叽日本冈山帆布鞋久留米手工硫化鞋男女情侣低帮复古休闲鞋,https://item.taobao.com/item.htm?id=558144627990,棉攻厂,14,18623092913,,0,0,0,0,4.84056,高于7.08%,4.87093,高于6.46%,4.87744分,高于7.27%,,,0,
淘宝,【齐鲁商盟】朔风来袭,https://shop67284608.taobao.com/,孔明锁鲁班锁解锁解环拆解休闲益智古典儿童玩具榉木精品全套,https://item.taobao.com/item.htm?id=555068563848,朔风来袭,13,17009269266,,0,0,0,0,4.80247分,低于0.57%,4.90123分,高于30.40%,4.87654分,高于7.44%,,,0,
淘宝,古谷屋日本进口家居,https://shop35738242.taobao.com/,室内除湿袋可挂式吸水干燥剂家用衣橱柜吸潮学生宿舍房间防潮防霉,https://item.taobao.com/item.htm?id=565645307102,心仪家居,19,18314961230,,0,0,0,0,4.87927,高于33.20%,4.90753,高于41.43%,4.90558分,高于38.00%,,,0,
淘宝,春天户外家具,https://shop106328860.taobao.com/,户外烧烤桌椅家用木炭架烧烤炉庭院花园露天铁艺休闲室外铸铝桌椅,https://item.taobao.com/item.htm?id=547801724153,amt9966,12,18676508252,,0,0,0,0,4.95883分,高于52.29%,4.96516分,高于55.15%,4.95249分,高于39.91%,,,0,
淘宝,创意之富,https://shop109564129.taobao.com/,大红酸枝多宝阁红木博古架实木中式小摆件展示架雕花茶具架古董架,https://item.taobao.com/item.htm?id=544114532543,创意之富,11,,13705968282,0,0,0,0,4.99734分,高于96.92%,4.99734分,高于96.58%,4.99468分,高于93.27%,,,0,
企业,恐怖来袭,https://shop66180798.taobao.com/,万圣节珍藏版蚁人战士头盔cosplay搞笑头套那女狼人成人面具,https://item.taobao.com/item.htm?id=521063491948,长城工艺8201,12,05993823382,15355383788,0,0,0,0,4.83741,持平0.38%,4.87248,持平0.10%,4.8491分,低于0.60%,,,0,
淘宝,巧手之家福禄庄园,https://shop73412662.taobao.com/,天然大葫芦摆件特大天然巨型大号开口厕所化煞挂件辟邪镇宅烙画,https://item.taobao.com/item.htm?id=563826682885,建安工艺路,13,13863538225,18863538558,0,0,0,0,4.97739,高于73.80%,4.98191,高于76.71%,4.97664分,高于70.45%,,,0,
淘宝,微纳家居日本进口家居,https://shop109433684.taobao.com/,韩国洗衣机槽清洗剂滚筒全自动波轮杀菌消毒除垢清洁粉通用 3包装,https://item.taobao.com/item.htm?id=563527912141,tb29353269,18,18957987575,18957987575,0,0,0,0,4.84637,高于14.99%,4.87933,高于23.57%,4.87681分,高于19.11%,,,0,
企业,宝堡乐,https://shop144844583.taobao.com/,马利牌 丙烯颜料100ml 马利A1100 墙绘 手绘颜料 DIY创作,https://item.taobao.com/item.htm?id=553393190631,宝堡乐magic,12,,17708333424,0,0,0,0,4.9173,高于51.32%,4.92956,高于50.37%,4.93262分,高于49.49%,,,0,
企业,TRD特伦德手工鞋官方,https://shop65921946.taobao.com/,TRD新款英伦复古三接头皮鞋男真皮商务正装皮鞋反绒皮时尚牛津鞋,https://item.taobao.com/item.htm?id=569026292719,避风港59,14,,18122407069,0,0,0,0,4.89534,高于39.02%,4.92689,高于47.05%,4.91182分,高于33.34%,,,0,
淘宝,啊咿哇呀的小店,https://shop127206170.taobao.com/,正品现货美国POLO Ralph Lauren儿童男童装圆领毛衣针织衫,https://item.taobao.com/item.htm?id=595236119326,ayiwaya,10,,13915508215,0,0,0,0,4.90071,高于41.55%,4.9078,高于35.03%,4.9078分,高于30.88%,,,0,
淘宝,AVIVA 地球店,https://shop60769312.taobao.com/,牛仔连衣裙女春秋2021年新款高腰欧洲站修身收腰显瘦欧货衬衫短裙,https://item.taobao.com/item.htm?id=566330713781,aviva_j,17,4001636017,18123926290,0,0,0,0,4.82837分,持平0.10%,4.86653分,高于3.34%,4.87815分,高于7.88%,,,0,
企业,乐途自行车户外,https://shop64980940.taobao.com/,禧玛诺7山地自行车24速9卡式飞轮27旋式10后6齿轮30配件11xt九十8,https://item.taobao.com/item.htm?id=558953992930,誰會了解2503,16,13682661015,0755-89338190,0,0,0,0,4.87742,高于20.35%,4.89563,高于21.42%,4.88956分,高于15.59%,,,0,
淘宝,5D模型,https://shop442954004.taobao.com/,5D模型 鸠极预调漆 免稀释UG高达专用色系军事模型喷涂上色油性漆,https://item.taobao.com/item.htm?id=597027909492,皮皮想买东东,16,,15816842898,0,0,0,0,4.94953分,高于64.94%,4.95317分,高于61.83%,4.93435分,高于45.93%,,,0,
企业,石家庄丰成合商贸,https://shop116428176.taobao.com/,荷花酒 圣地柏坡情酒荷花酒42度500mlX4瓶 白酒整箱特价 河北特产,https://item.taobao.com/item.htm?id=562448768360,133lxl,9,,18031926595,0,0,0,0,4.7963,持平0.27%,4.85185,高于9.65%,4.87963分,高于23.81%,,,0,
天猫,妙优童旗舰店,https://shop112005312.taobao.com/,儿童袜子春秋薄款纯棉婴儿宝宝男童女童袜新生儿春夏中筒夏季船袜,https://item.taobao.com/item.htm?id=537336714609,妙优童旗舰店,0,13655751817,,0,0,0,100,4.86163分,持平,4.85211分,持平,4.85878分,持平,上海童人服饰有限公司,,0,
淘宝,绣架工坊,https://shop73017061.taobao.com/,琴棋书画1.5米 十字绣架子不锈钢绣刺绣十字绣的架子可调包邮大号,https://item.taobao.com/item.htm?id=529306211001,梅林黛玉6,12,,13483974158,0,0,0,0,4.86653分,高于26.10%,4.90554分,高于40.04%,4.90349分,高于36.55%,,,0,
淘宝,半梵工作室,https://shop33123934.taobao.com/,原创女包真皮托特包大容量手工包牛皮大包手提包女包包2020新款潮,https://item.taobao.com/item.htm?id=544288897561,xuteng_gjw,12,,15957987980,0,0,0,0,4.86918分,高于23.76%,4.9086分,高于33.76%,4.92473分,高于43.05%,,,0,
淘宝,佐夫高端包袋,https://shop58838827.taobao.com/,ZUOFU 荔枝纹真皮铂金包头层牛皮手提包牛皮单肩斜跨包真皮女包,https://item.taobao.com/item.htm?id=547353301907,duzhenfu,12,,18267135660,0,0,0,0,4.7993,低于0.60%,4.85563,持平0.13%,4.8662分,持平0.10%,,,0,
淘宝,贻鑫堂,https://shop281118966.taobao.com/,桃胶天然野生珍珠500g包邮食用云南特级桃花泪非皂角米雪燕组合,https://item.taobao.com/item.htm?id=557208256242,贻鑫堂,16,,15969550015,0,0,0,0,4.8335分,高于12.90%,4.8712分,高于21.52%,4.88095分,高于24.61%,,,0,
淘宝,神烦运动,https://shop69894112.taobao.com/,UA安德玛运动头带男 夏季篮球止汗头巾女 正品跑步健身吸汗束发带,https://item.taobao.com/item.htm?id=562385735121,涂贞强,9,,13349853854,0,0,0,0,4.85714分,高于7.22%,4.87302分,高于4.40%,4.8254分,低于0.90%,,,0,
淘宝,欧品生活店,https://shop59718018.taobao.com/,德国MODERN钱夹防盗刷防消磁金属卡包NFC卡套 卡盒男超薄RFID卡夹,https://item.taobao.com/item.htm?id=546701820357,longyu2006sz,15,,13798382679,0,0,0,0,4.91935分,高于42.70%,4.94355分,高于54.92%,4.94342分,高于53.12%,,,0,
企业,爱当家玩具星,https://shop70379751.taobao.com/,战甲强化RODAMS1:72RAS-30GP03S GP03D 大冰箱 背包拼装模型,https://item.taobao.com/item.htm?id=627282476864,junliang228,15,010-89205724,18801333622,0,0,0,0,4.94926,高于64.77%,4.95518,高于63.49%,4.95137分,高于59.96%,,,0,
企业,贺店美玉,https://shop108316783.taobao.com/,酒泉夜光杯祁连玉夜光杯武山鸳鸯玉甘肃贺店玉雕高脚杯酒杯墨玉壶,https://item.taobao.com/item.htm?id=549482342488,游程网88,9,18294225512,18093863443,0,0,0,0,4.91057,高于36.77%,4.94167,高于49.81%,4.93333分,高于39.86%,,,0,
企业,金属时代,https://shop102189879.taobao.com/,持雍收边条地板地砖条压条瓷砖收口包边条封边铝合金属隔条门槛条,https://item.taobao.com/item.htm?id=560870543378,企鹅乖乖跳,14,18125658910,18169893111,0,0,0,0,4.85133,低于1.27%,4.85326,低于1.40%,4.87201分,低于1.00%,,,0,
淘宝,模动魂商城,https://shop60101830.taobao.com/,包邮模动魂现货高达福袋正品万代SDHG拼装RG敢达MG模型PG合金着色,https://item.taobao.com/item.htm?id=564897573617,陈凌zero,12,,18688854484,0,0,0,0,4.89251分,高于25.33%,4.86319分,持平0.29%,4.89251分,高于11.47%,,,0,
淘宝,陶陶宠物用品,https://shop60895901.taobao.com/,克莉斯汀森克里斯汀森丝仙丝蛋白猫咪狗狗开结护毛素猫防静电精油,https://item.taobao.com/item.htm?id=7799950754,陶陶家的小四,13,13373515251,,0,0,0,0,4.93226分,高于50.90%,4.94677分,高于55.04%,4.94839分,高于55.02%,,,0,
淘宝,美丽总动员精品女装店,https://shop34811407.taobao.com/,职业西装套装男女同款2020春款深紫色时尚气质工作服修身商务正装,https://item.taobao.com/item.htm?id=554005561458,美丽总动员2008,13,18007698050,18007698050,0,0,0,0,4.76847分,低于1.24%,4.80693分,低于1.13%,4.78713分,低于1.66%,,,0,
淘宝,爱布饰手系列家饰,https://shop72653020.taobao.com/,高档欧式香槟绸缎布蕾丝电视套55寸65寸70寸曲面电视机罩电视蒙,https://item.taobao.com/item.htm?id=560238456724,梁鹏飞0687,14,,13269458738,0,0,0,0,4.85112分,高于17.62%,4.87349分,高于19.87%,4.8821分,高于22.58%,,,0,
企业,展辉食品,https://shop524587815.taobao.com/,台湾大号紫薯手抓饼面饼山东煎饼 商用非家庭装包邮早餐100片120g,https://item.taobao.com/item.htm?id=562627880801,重庆展辉食品,15,023-67087286,13012330379,0,0,0,0,4.80888,持平0.10%,4.82279,持平0.27%,4.78185分,低于1.24%,,,0,
淘宝,一力米灰 定制女鞋,https://shop110926899.taobao.com/,一力米灰2021新款一字扣带露趾粗跟百搭晚晚凉鞋女真皮中跟鞋女夏,https://item.taobao.com/item.htm?id=554131488522,我小圈圈,17,028-64700882,17381963808,0,0,0,0,4.71595分,低于2.33%,4.76513分,低于1.99%,4.7928分,低于1.54%,,,0,
淘宝,简爱全屋定制,https://shop115559111.taobao.com/,简爱定制餐边柜储物柜微波炉烤箱柜茶水柜备餐柜碗碟柜简约现代,https://item.taobao.com/item.htm?id=568961264121,王萌小屋,7,010-84253178,15811222880,0,0,0,0,5.0分,高于100.00%,5.0分,高于100.00%,4.98611分,高于82.43%,,,0,
企业,鸿浩厨房用品店,https://shop104598115.taobao.com/,山西面食工具 抿蝌蚪 抿豆面 抿圪斗手动压面器 蝌蚪面不锈钢抿床,https://item.taobao.com/item.htm?id=554143883748,长鸿1987,14,0663-8700345,13380576705,0,0,0,0,4.84577,高于14.61%,4.85572,高于8.42%,4.84743分,持平0.10%,,,0,
淘宝,大哥哥家,https://shop109330645.taobao.com/,2021新款尖头大红色5cm高跟鞋细跟方扣香槟色单鞋女绿色新娘婚鞋,https://item.taobao.com/item.htm?id=560568376733,5201314gqiy,13,15018089015,15018089015,0,0,0,0,4.85304分,高于14.35%,4.88368分,高于15.70%,4.89996分,高于24.31%,,,0,
淘宝,龙祺轩家具工厂店,https://shop110115255.taobao.com/,欧式卧室皮沙发凳床尾收纳凳换鞋凳实木简约现代长方形客厅储物凳,https://item.taobao.com/item.htm?id=561853432743,l袁龙,9,,15850020692,0,0,0,0,4.96591分,高于60.49%,4.97159分,高于63.43%,4.97159分,高于64.07%,,,0,
淘宝,仙德曼生活馆,https://shop59929261.taobao.com/,台湾家用焖烧锅超长保温316不锈钢仙德曼免火再煮锅大容量保温锅,https://item.taobao.com/item.htm?id=543550432879,国绣艺术,14,18621656069,,0,0,0,0,4.89483分,高于41.77%,4.91765分,高于47.73%,4.92408分,高于50.09%,,,0,
企业,青枫食品,https://shop63818315.taobao.com/,洪濑鸡爪红毛食品福建泉州特产鸡爪香辣卤香卤鸡爪包邮,https://item.taobao.com/item.htm?id=566674011168,青枫名韵,16,,18120852675,0,0,0,0,4.81937,高于5.50%,4.85908,高于14.14%,4.86037分,高于11.58%,,,0,
企业,雅科达户外战术装备,https://shop70517664.taobao.com/,雅科达真人CS战术背心军迷战术装备用品作战马甲6094战术背心马甲,https://item.taobao.com/item.htm?id=566154732405,雅科达旅游用品,13,020-36987300,18928277274,0,0,0,0,4.93624,高于58.59%,4.92114,高于40.63%,4.94128分,高于55.12%,,,0,
淘宝,AILTO爱乐陶,https://shop60147151.taobao.com/,软陶粘土ob11娃头作品上色染色腮红眼影渐变渲染色粉棒36色一盒,https://item.taobao.com/item.htm?id=559344977265,迷泥小猪,15,15058859850,,0,0,0,0,4.91346分,高于39.89%,4.93697分,高于48.63%,4.94017分,高于50.72%,,,0,
淘宝,厨呱呱食品,https://shop101385964.taobao.com/,正宗顺德火焰醉鹅酱料桶装12斤秘制焖鹅酱汁配方火锅料调味酱商用,https://item.taobao.com/item.htm?id=550896848166,gzccq16888,12,13480241811,13480241811,0,0,0,0,4.84666,高于19.57%,4.86678,高于18.76%,4.86848分,高于16.75%,,,0,
天猫,江博士官方旗舰店,https://shop58638384.taobao.com/,优雅公主鞋每一步都是浪漫童话,https://item.taobao.com/item.htm?id=634653651015,江博士官方旗舰店,0,0757-85778871,18138339520,0,0,0,100,4.8832分,高于1.88%,4.86322分,持平,4.88714分,高于4.77%,广东足迹鞋业有限公司,广东 佛山,0,
淘宝,雪丘岛户外,https://shop65660796.taobao.com/,雪丘岛四季款冲锋裤防风防水全压胶宽松版型带透气拉链冲锋裤女,https://item.taobao.com/item.htm?id=561031924620,雪丘岛,15,18113968844,18113968844,0,0,0,0,4.87595分,高于19.43%,4.90155分,高于25.88%,4.90007分,高于23.63%,,,0,
淘宝,树仁家具厂,https://shop57062369.taobao.com/,红木家具鸡翅木茶桌椅组合1.68到2米茶台实木新中式功夫茶桌茶几,https://item.taobao.com/item.htm?id=559147703285,fancco,10,,13929062889,0,0,0,0,4.94784分,高于39.55%,4.95324分,高于39.80%,4.92806分,高于9.01%,,,0,
淘宝,牛男健身海淘补剂店,https://shop107719885.taobao.com/,新款眼镜蛇氮泵 幽灵氮泵 Shadow-X 30份原装现货 增力量 耐力,https://item.taobao.com/item.htm?id=524378030636,牛男健身补剂店,13,,13606326456,0,0,0,0,4.935分,高于66.00%,4.945分,高于66.49%,4.94438分,高于64.78%,,,0,
淘宝,原味坊烘焙五谷现磨豆,https://shop58290714.taobao.com/,熟五谷豆浆原料 熟黑豆5斤装 低温烘焙现磨豆浆散装配料五谷杂粮,https://item.taobao.com/item.htm?id=566796553502,wuxue0907,13,18923444192,18520895560,0,0,0,0,4.87648分,高于35.38%,4.90736分,高于43.55%,4.88955分,高于30.06%,,,0,
淘宝,吉井家,https://shop34469505.taobao.com/,【吉井家】日本制Jogan成願KI.RA.RA五层棉纱布马卡龙干发帽吸水,https://item.taobao.com/item.htm?id=560748793192,鬼鬼0928,14,0512-58777520,18913604520,0,0,0,0,4.90348分,高于46.59%,4.92959分,高于55.40%,4.93038分,高于54.28%,,,0,
淘宝,九久欢乐购,https://shop105628295.taobao.com/,寿司料理紫菜包饭寿司海苔烤紫菜1一次烤100张片食材材料散装黑色,https://item.taobao.com/item.htm?id=554504311622,zhang52036jj,14,,15051182952,0,0,0,0,4.88406,高于39.19%,4.90166,高于40.03%,4.89648分,高于34.48%,,,0,
企业,型动帮,https://shop63664592.taobao.com/,1/6兵人模型MINITIMES M016洛杉矶女警 现代美军LAPD女兵人SWAT,https://item.taobao.com/item.htm?id=613473756650,型动帮,13,,13270073848,0,0,0,0,4.92405,高于47.24%,4.92405,高于38.10%,4.98734分,高于89.57%,,,0,
淘宝,双兔椅套,https://shop34757141.taobao.com/,comb i康贝 aprica 阿普丽佳BB餐椅 防污套 防水套子,https://item.taobao.com/item.htm?id=549111141545,小儿郎代言人,12,,13758618170,0,0,0,0,4.83375分,高于8.01%,4.82878分,持平0.28%,4.85856分,高于7.12%,,,0,
淘宝,骑士网自营店,https://shop68256194.taobao.com/,骑士网倍耐力天使CT轮胎 110/130/140/150/70-17 Z250 GW CBR GPR,https://item.taobao.com/item.htm?id=550622633285,zzgscxh,15,18758137401,,0,0,0,0,4.90979分,高于44.42%,4.92444分,高于47.92%,4.90629分,高于34.25%,,,0,
企业,配餐消毒柜厂家直销网,https://shop58686289.taobao.com/,双门消毒柜大理石柜商用大型消毒碗柜无抽餐具茶水配餐柜1米宽,https://item.taobao.com/item.htm?id=563513052688,pli524231,10,,13202878048,0,0,0,0,4.91071,高于36.56%,4.93155,高于45.33%,4.93452分,高于45.75%,,,0,
淘宝,正东摩配 摩托车改装,https://shop63803639.taobao.com/,摩托车改装跑车川崎黄龙大排量直通炮筒SC网盖炸街天蝎排气管通用,https://item.taobao.com/item.htm?id=558684545834,moto由我,14,,15921244554,0,0,0,0,4.76302分,低于1.54%,4.75521分,低于2.05%,4.70573分,低于3.12%,,,0,
淘宝,COOLCORE品牌直销店,https://shop114479796.taobao.com/,coolcore擦汗巾运动手腕毛巾吸汗速干健身房跑步冷感冰凉巾女男,https://item.taobao.com/item.htm?id=557337435077,909131677afs,14,,18653254488,0,0,0,0,4.90816分,高于40.35%,4.93197分,高于48.78%,4.92857分,高于45.41%,,,0,
淘宝,木秀流年家具工厂店,https://shop62498056.taobao.com/,家用梯子椅子 折叠椅楼梯椅梯子椅 实木梯凳楼梯椅 凳子木梯梯凳,https://item.taobao.com/item.htm?id=530798717253,meng448,10,,13161288816,0,0,0,0,4.96774,高于62.61%,4.97235,高于64.39%,4.97235分,高于65.01%,,,0,
淘宝,吾倪季,https://shop34103370.taobao.com/,JINIWU吾倪季男士休闲皮鞋厚底增高鞋德比金属头英伦皮鞋潮流男鞋,https://item.taobao.com/item.htm?id=543499457625,andynw,14,,18006884989,0,0,0,0,4.78131分,低于0.97%,4.80701分,低于1.13%,4.82523分,低于0.87%,,,0,
淘宝,joyful09,https://shop59522052.taobao.com/,加厚儿童塑料桌椅 幼儿园学习桌椅 宝宝游戏餐桌椅玩具桌（桌价）,https://item.taobao.com/item.htm?id=568762737993,joyful09,13,18657655573,18657655573,0,0,0,0,4.8125,低于2.06%,4.8375,低于1.72%,4.8875分,低于0.68%,,,0,
淘宝,好自然家饰生活馆,https://shop34257313.taobao.com/,欧式刺绣蕾丝饮水机罩套 立式饮水机两件套 高档桶装水防尘罩子,https://item.taobao.com/item.htm?id=561240941642,酷酷牛仔仔,15,028-83465718,13980649873,0,0,0,0,4.78975分,低于0.62%,4.83114分,持平0.23%,4.83662分,持平0.23%,,,0,
